month,sales
2011-01-01,98902
2011-02-01,91152
2011-03-01,145726
2011-04-01,116927
2011-05-01,146762
2011-06-01,215214
2011-07-01,115518
2011-08-01,207570
2011-09-01,290230
2011-10-01,199070
2011-11-01,298499
2011-12-01,333941
2012-01-01,135775
2012-02-01,100521
2012-03-01,163092
2012-04-01,161060
2012-05-01,208370
2012-06-01,256181
2012-07-01,145247
2012-08-01,303158
2012-09-01,289390
2012-10-01,252942
2012-11-01,323512
2012-12-01,338245
2013-01-01,199197
2013-02-01,167247
2013-03-01,198591
2013-04-01,177835
2013-05-01,260525
2013-06-01,396513
2013-07-01,229940
2013-08-01,326491
2013-09-01,376626
2013-10-01,293423
2013-11-01,373996
2013-12-01,405476
2014-01-01,241267
2014-02-01,184848
2014-03-01,263110
2014-04-01,242781
2014-05-01,288404
2014-06-01,401843
2014-07-01,258718
2014-08-01,456633
2014-09-01,481186
2014-10-01,422785
2014-11-01,555312
2014-12-01,503154
